CREATE TABLE ZipCode (_id INTEGER PRIMARY KEY, ZipCode varchar(5), ZipCodeType varchar(25), City varchar(30), State varchar(2))
INSERT INTO ZipCode VALUES(1,'Zipcode','ZipCodeType','City','State')
INSERT INTO ZipCode VALUES(2,501,'UNIQUE','HOLTSVILLE','NY')
INSERT INTO ZipCode VALUES(3,544,'UNIQUE','HOLTSVILLE','NY')
INSERT INTO ZipCode VALUES(4,601,'STANDARD','ADJUNTAS','PR')
INSERT INTO ZipCode VALUES(5,602,'STANDARD','AGUADA','PR')
INSERT INTO ZipCode VALUES(6,603,'STANDARD','AGUADILLA','PR')
INSERT INTO ZipCode VALUES(7,603,'STANDARD','RAMEY','PR')
INSERT INTO ZipCode VALUES(8,604,'PO BOX','AGUADILLA','PR')
INSERT INTO ZipCode VALUES(9,604,'PO BOX','RAMEY','PR')
INSERT INTO ZipCode VALUES(10,605,'PO BOX','AGUADILLA','PR')
INSERT INTO ZipCode VALUES(11,606,'STANDARD','MARICAO','PR')
INSERT INTO ZipCode VALUES(12,610,'STANDARD','ANASCO','PR')
INSERT INTO ZipCode VALUES(13,611,'PO BOX','ANGELES','PR')
INSERT INTO ZipCode VALUES(14,612,'STANDARD','ARECIBO','PR')
INSERT INTO ZipCode VALUES(15,613,'PO BOX','ARECIBO','PR')
INSERT INTO ZipCode VALUES(16,614,'PO BOX','ARECIBO','PR')
INSERT INTO ZipCode VALUES(17,616,'STANDARD','BAJADERO','PR')
INSERT INTO ZipCode VALUES(18,617,'STANDARD','BARCELONETA','PR')
INSERT INTO ZipCode VALUES(19,622,'STANDARD','BOQUERON','PR')
INSERT INTO ZipCode VALUES(20,623,'STANDARD','CABO ROJO','PR')
INSERT INTO ZipCode VALUES(21,624,'STANDARD','PENUELAS','PR')
INSERT INTO ZipCode VALUES(22,627,'STANDARD','CAMUY','PR')
INSERT INTO ZipCode VALUES(23,631,'PO BOX','CASTANER','PR')
INSERT INTO ZipCode VALUES(24,631,'PO BOX','ADJUNTAS','PR')
INSERT INTO ZipCode VALUES(25,636,'PO BOX','ROSARIO','PR')
INSERT INTO ZipCode VALUES(26,637,'STANDARD','SABANA GRANDE','PR')
INSERT INTO ZipCode VALUES(27,638,'STANDARD','CIALES','PR')
INSERT INTO ZipCode VALUES(28,641,'STANDARD','UTUADO','PR')
INSERT INTO ZipCode VALUES(29,646,'STANDARD','DORADO','PR')
INSERT INTO ZipCode VALUES(30,647,'STANDARD','ENSENADA','PR')
INSERT INTO ZipCode VALUES(31,650,'STANDARD','FLORIDA','PR')
INSERT INTO ZipCode VALUES(32,652,'STANDARD','GARROCHALES','PR')
INSERT INTO ZipCode VALUES(33,653,'STANDARD','GUANICA','PR')
INSERT INTO ZipCode VALUES(34,656,'STANDARD','GUAYANILLA','PR')
INSERT INTO ZipCode VALUES(35,659,'STANDARD','HATILLO','PR')
INSERT INTO ZipCode VALUES(36,660,'STANDARD','HORMIGUEROS','PR')
INSERT INTO ZipCode VALUES(37,662,'STANDARD','ISABELA','PR')
INSERT INTO ZipCode VALUES(38,664,'STANDARD','JAYUYA','PR')
INSERT INTO ZipCode VALUES(39,667,'STANDARD','LAJAS','PR')
INSERT INTO ZipCode VALUES(40,669,'STANDARD','LARES','PR')
INSERT INTO ZipCode VALUES(41,670,'STANDARD','LAS MARIAS','PR')
INSERT INTO ZipCode VALUES(42,674,'STANDARD','MANATI','PR')
INSERT INTO ZipCode VALUES(43,676,'STANDARD','MOCA','PR')
INSERT INTO ZipCode VALUES(44,677,'STANDARD','RINCON','PR')
INSERT INTO ZipCode VALUES(45,678,'STANDARD','QUEBRADILLAS','PR')
INSERT INTO ZipCode VALUES(46,680,'STANDARD','MAYAGUEZ','PR')
INSERT INTO ZipCode VALUES(47,681,'PO BOX','MAYAGUEZ','PR')
INSERT INTO ZipCode VALUES(48,682,'STANDARD','MAYAGUEZ','PR')
INSERT INTO ZipCode VALUES(49,683,'STANDARD','SAN GERMAN','PR')
INSERT INTO ZipCode VALUES(50,685,'STANDARD','SAN SEBASTIAN','PR')
INSERT INTO ZipCode VALUES(51,687,'STANDARD','MOROVIS','PR')
INSERT INTO ZipCode VALUES(52,688,'STANDARD','SABANA HOYOS','PR')
INSERT INTO ZipCode VALUES(53,690,'STANDARD','SAN ANTONIO','PR')
INSERT INTO ZipCode VALUES(54,692,'STANDARD','VEGA ALTA','PR')
INSERT INTO ZipCode VALUES(55,693,'STANDARD','VEGA BAJA','PR')
INSERT INTO ZipCode VALUES(56,694,'PO BOX','VEGA BAJA','PR')
INSERT INTO ZipCode VALUES(57,698,'STANDARD','YAUCO','PR')
INSERT INTO ZipCode VALUES(58,703,'STANDARD','AGUAS BUENAS','PR')
INSERT INTO ZipCode VALUES(59,704,'STANDARD','AGUIRRE','PR')
INSERT INTO ZipCode VALUES(60,705,'STANDARD','AIBONITO','PR')
INSERT INTO ZipCode VALUES(61,707,'STANDARD','MAUNABO','PR')
INSERT INTO ZipCode VALUES(62,714,'STANDARD','ARROYO','PR')
INSERT INTO ZipCode VALUES(63,715,'STANDARD','MERCEDITA','PR')
INSERT INTO ZipCode VALUES(64,715,'STANDARD','PONCE','PR')
INSERT INTO ZipCode VALUES(65,716,'STANDARD','PONCE','PR')
INSERT INTO ZipCode VALUES(66,716,'STANDARD','MERCEDITA','PR')
INSERT INTO ZipCode VALUES(67,717,'STANDARD','PONCE','PR')
INSERT INTO ZipCode VALUES(68,718,'STANDARD','NAGUABO','PR')
INSERT INTO ZipCode VALUES(69,719,'STANDARD','NARANJITO','PR')
INSERT INTO ZipCode VALUES(70,720,'STANDARD','OROCOVIS','PR')
INSERT INTO ZipCode VALUES(71,721,'PO BOX','PALMER','PR')
